99    128
     1       653      1565
     2      1352      1601
     3      1664      1055
     4      2156      1565
     5      1913      1784
     6      1625      1703
     7      1439      1838
     8      1277      1826
     9      1106      1622
    10      1094      1214
    11      1091       812
    12      1343       572
    13      2033       536
    14      2321       626
    15      2246      1037
    16      1874      1265
    17      1625      1382
    18      1460      1256
    19      1433      1061
    20      1481       758
    21      1676       575
    22      1874       812
    23      2018       947
    24      2165      1373
    25      2345      1376
    26      2408      1145
    27      2441       863
    28      2195       803
    29      2420       395
    30      2135       383
    31      1607       380
    32      1160       365
    33       809       377
    34       524       464
    35       527       929
    36       683      1214
    37       932      1235
    38       854       953
    39       731       704
    40       866       428
    41       998       527
    42       449      1346
    43       365      1622
    44       317      1367
    45       290      1016
    46       281       701
    47       281       506
    48       857      1523
    49       731      1724
    50       521      1757
    51       281      1781
    52      1676      1832
    53      2384      1805
    54      2447      1631
    55      1910      1580
    56      1376      1406
    57      1031      1775
    58      1064      1454
    59      1286      1193
    60      1115       896
    61      1337       830
    62      1133       683
    63      1337       395
    64      1901       365
    65      1613       797
    66      1856      1085
    67      2084      1166
    68      1751      1484
    69      2129      1868
    70      2537      1478
    71      2234      1670
    72      2540      1289
    73      2510       533
    74      1838       665
    75      1055      1049
    76       944       734
    77       719       572
    78       530       662
    79       476      1097
    80       647      1382
    81       458      1574
    82       419       782
    83       695      1034
    84      1589      1532
    85       827      1388
    86      1949      1439
    87      1829       488
    88      2255       362
    89      2114       683
    90      2300       866
    91      1742       926
    92      1472       920
    93      1181      1001
    94       689       857
    95       392      1805
    96      1508       545
    97       368       329
    98      1739      1628
    99      1166      1874
     1        51        95
     2        95        50
     3        50        49
     4        49        57
     5        57        48
     6        48         9
     7         9        58
     8        58        10
     9        10        75
    10        75        37
    11        37        85
    12        85        80
    13        80        36
    14        36        79
    15        79        42
    16        42        81
    17        81        43
    18        43        51
    19        50         1
    20         1        80
    21        36        83
    22        83        38
    23        38        60
    24        60        11
    25        11        62
    26        62        12
    27        12        63
    28        63        32
    29        32        41
    30        41        40
    31        40        77
    32        77        34
    33        34        33
    34        33        32
    35        41        76
    36        76        38
    37        38        94
    38        94        78
    39        78        82
    40        82        47
    41        47        46
    42        46        45
    43        45        35
    44        35        79
    45        79        44
    46        44        81
    47        75        93
    48        93        59
    49        59        19
    50        19        92
    51        92        20
    52        20        21
    53        21        87
    54        87        64
    55        64        30
    56        30        88
    57        88        29
    58        29        73
    59        73        27
    60        27        26
    61        26        15
    62        15        90
    63        90        28
    64        28        23
    65        23        67
    66        67        24
    67        24        25
    68        25        72
    69        72        70
    70        70        54
    71        54         4
    72         4        71
    73        71        53
    74        53        69
    75        69         5
    76         5        55
    77        55        86
    78        86        16
    79        16        66
    80        66        22
    81        22        89
    82        89        14
    83        14        13
    84        13        74
    85        74        65
    86        65        91
    87        91         3
    88         3        17
    89        17        68
    90        68        84
    91        84        18
    92        18        56
    93        56         2
    94         2         8
    95         8         7
    96         7         6
    97         6        52
    98        52         5
    99         5         4
   100         4        24
   101        24        15
   102        28        89
   103        87        31
   104        31        63
   105        12        20
   106        20        61
   107        61        62
   108        59        18
   109         2         9
   110        58        85
   111        17        16
   112        66        24
   113        77        39
   114        39        94
   115        94        35
   116        34        47
   117        65        20
   118        97        33
   119        34        97
   120        68        98
   121        98         6
   122         3        19
   123        31        96
   124        96        12
   125        29        14
   126        49        48
   127         2        99
   128        99         9
