99    129
     1        61       526
     2       208       485
     3       217       287
     4       287       164
     5       607       212
     6       622       415
     7       506       497
     8       371       475
     9       377       305
    10       435       219
    11       502       328
    12       502       382
    13       647       531
    14       745       462
    15       722       292
    16       727       158
    17       697        61
    18       528        57
    19       422        52
    20       339        69
    21       211        69
    22       145        69
    23       102       130
    24       102       239
    25       109       361
    26       153       419
    27       278       419
    28       286       295
    29       201       208
    30       178       129
    31       143       160
    32       166       267
    33        82       298
    34        39       427
    35         1       315
    36        39       205
    37        37        93
    38        47        60
    39       139        36
    40       315        31
    41       397       166
    42       580       158
    43       664       128
    44       612        49
    45       684       267
    46       608       326
    47       546       277
    48       493       158
    49       378       404
    50       297       382
    51       214       368
    52       320       521
    53       422       547
    54       555       547
    55       603       480
    56       528       440
    57       454       444
    58       567       370
    59       732       368
    60       731       520
    61       700       449
    62       757       409
    63       769       255
    64       691       204
    65       753       111
    66       503       221
    67       338       257
    68       133       501
    69       211       525
    70       296       559
    71       291       484
    72       348       367
    73       430       328
    74       325       186
    75       271       230
    76       261       124
    77       386       112
    78       385        41
    79       480       109
    80       560        94
    81       758        56
    82       619       284
    83       678       368
    84       273       352
    85       202       444
    86       174       336
    87       145       216
    88       197       171
    89       408       264
    90       444       383
    91       430       503
    92       469       549
    93       602       553
    94       657       483
    95       655       415
    96       615       109
    97       647        75
    98       751       197
    99        16       487
     1         1        68
     2        68        26
     3        26        86
     4        86        25
     5        25        34
     6        34        99
     7        99        68
     8        69         1
     9        69        70
    10         2        69
    11        85         2
    12        26        85
    13        85        27
    14        27        71
    15        71        52
    16        52        53
    17        70        52
    18        53        92
    19        92         7
    20         7        54
    21        54        93
    22        93        13
    23        13        55
    24        55         6
    25         6        94
    26        94        60
    27        60        61
    28        61        14
    29        14        83
    30        83        59
    31        59        62
    32        62        14
    33        15        63
    34        83        15
    35        45        82
    36        15        46
    37        82        46
    38        45        64
    39        64        98
    40        15        45
    41        63        98
    42        98        16
    43        16        65
    44        65        81
    45        81        17
    46        17        97
    47        97        43
    48        43        96
    49        96        44
    50        44        80
    51        80        18
    52        18        79
    53        79        48
    54        48        42
    55        42         5
    56         5        64
    57        64        43
    58         5        47
    59        47        66
    60        66        10
    61        10        89
    62        89         9
    63         9        73
    64        73        11
    65        11        58
    66        58         6
    67         6        95
    68        95        83
    69        83        46
    70        58        56
    71        56         7
    72         7        57
    73        57        12
    74        12        90
    75        90        73
    76        73        72
    77        72        49
    78        49         8
    79         8        91
    80        91        53
    81        57         8
    82         8        71
    83        27        49
    84        50        84
    85        27        50
    86        84        28
    87        28        67
    88        67         9
    89        67        74
    90        74        41
    91        41        77
    92        77        19
    93        19        78
    94        78        20
    95        20         4
    96         4        76
    97        76        75
    98        75         3
    99         3        29
   100        29        32
   101        32        86
   102        86        51
   103        51        84
   104        84        85
   105        86        33
   106        33        24
   107        24        36
   108        36        35
   109        35        33
   110        33        34
   111        87        31
   112        32        87
   113        31        88
   114        88        30
   115        30        22
   116        22        23
   117        23        37
   118        37        38
   119        38        22
   120        22        39
   121        39        21
   122        21        40
   123        40        20
   124        21        76
   125        19        18
   126        48        41
   127        41        10
   128        47        11
   129        23        36
